data;Captacao_Liquida_Poupanca
2000-01-03;676983.71
2000-01-04;1533.59
2000-01-05;223267.75
2000-01-06;176965.67
2000-01-07;306256.53
2000-01-10;-100563.15
2000-01-11;-271341.49
2000-01-12;-40156.39
2000-01-13;-82716.99
2000-01-14;75137.55
2000-01-17;-6963.01
2000-01-18;-384782.88
2000-01-19;-179626.42
2000-01-20;93122.57
2000-01-21;-54400.3
2000-01-24;-106010.94
2000-01-25;-144894.05
2000-01-26;-167710.01
2000-01-27;49094.94
2000-01-28;172228.74
2000-01-31;144739.89
2000-02-01;12528.5
2000-02-02;-40514.13
2000-02-03;-24784.84
2000-02-04;278439.53
2000-02-07;-94699.96
2000-02-08;-350503.91
2000-02-09;-179290.22
2000-02-10;-1180.17
2000-02-11;-163938.36
2000-02-14;-144951.75
2000-02-15;15268.81
2000-02-16;-273392.01
2000-02-17;40489.38
2000-02-18;-61676.39
2000-02-21;-148715.55
2000-02-22;-311355.05
2000-02-23;-225770.59
2000-02-24;-56668.92
2000-02-25;470001.03
2000-02-28;-138842.1
2000-02-29;100539.79
2000-03-01;61199.06
2000-03-02;98936.68
2000-03-03;203518.45
2000-03-08;-298899.32
2000-03-09;-200088.84
2000-03-10;-99724.92
2000-03-13;-179099.92
2000-03-14;-233451.35
2000-03-15;66979.75
2000-03-16;-162116.45
2000-03-17;75929.63
2000-03-20;-64565.59
2000-03-21;-309788.19
2000-03-22;-59578.2
2000-03-23;-190776.53
2000-03-24;51780.3
2000-03-27;-101406.41
2000-03-28;-310430.13
2000-03-29;-25114.7
2000-03-30;257155.07
2000-03-31;246313.19
2000-04-03;-91076.66
2000-04-04;-156567.59
2000-04-05;86982.49
2000-04-06;249934.12
2000-04-07;-53636.23
2000-04-10;-36939.58
2000-04-11;-381388.77
2000-04-12;-143923.99
2000-04-13;-67767.85
2000-04-14;163677.44
2000-04-17;-175356.16
2000-04-18;-336205.21
2000-04-19;-91409.1
2000-04-20;76817.12
2000-04-24;-151842.99
2000-04-25;-186814.01
2000-04-26;-32534.23
2000-04-27;163652.04
2000-04-28;284379.01
2000-05-02;-16322.02
2000-05-03;-236865.42
2000-05-04;-62685.19
2000-05-05;493864.76
2000-05-08;-186763.67
2000-05-09;-316997.48
2000-05-10;127637.85
2000-05-11;-215033.37
2000-05-12;-27234.17
2000-05-15;93330.82
2000-05-16;-319847.09
2000-05-17;-161003.69
2000-05-18;-139729.05
2000-05-19;71251.47
2000-05-22;35345.48
2000-05-23;-392137.02
2000-05-24;-75215.02
2000-05-25;66872.67
2000-05-26;-27041.9
2000-05-29;-101060.72
2000-05-30;180420.47
2000-05-31;166981.59
2000-06-01;37527.29
2000-06-02;64547.93
2000-06-05;108028.36
2000-06-06;109136.59
2000-06-07;-107658.22
2000-06-08;-118099.04
2000-06-09;142160.3
2000-06-12;-141286.59
2000-06-13;-311464.68
2000-06-14;7265.22
2000-06-15;190655.31
2000-06-16;-157478.24
2000-06-19;-173562.19
2000-06-20;115876.12
2000-06-21;-248615.44
2000-06-23;-60629.97
2000-06-26;-192124.08
2000-06-27;-59838.68
2000-06-28;-13826.24
2000-06-29;281612.28
2000-06-30;525474.7
2000-07-03;159485.63
2000-07-04;-304130.75
2000-07-05;150080.04
2000-07-06;214270.07
2000-07-07;-92314.02
2000-07-10;77278.93
2000-07-11;-402720.06
2000-07-12;-134262.12
2000-07-13;-68983.2
2000-07-14;283496.25
2000-07-17;-122632.91
2000-07-18;-330449.69
2000-07-19;-146405.07
2000-07-20;114103.63
2000-07-21;-141723.07
2000-07-24;-83162.86
2000-07-25;-66801.24
2000-07-26;-186250.8
2000-07-27;94946.47
2000-07-28;179405.05
2000-07-31;112186.6
2000-08-01;25009.24
2000-08-02;-67748.42
2000-08-03;-22334.03
2000-08-04;432951.59
2000-08-07;-35111.67
2000-08-08;-429853.1
2000-08-09;-155221.31
2000-08-10;143445.88
2000-08-11;-159340.69
2000-08-14;31924.87
2000-08-15;251847.76
2000-08-16;-435537.7
2000-08-17;545159.11
2000-08-18;-666577.39
2000-08-21;-65065.5
2000-08-22;-277264.81
2000-08-23;-191045.86
2000-08-24;-57754.94
2000-08-25;159738.88
2000-08-28;-246929.82
2000-08-29;-108115.3
2000-08-30;273767.62
2000-08-31;239081.73
2000-09-01;81809.45
2000-09-04;-70437.5
2000-09-05;1780.63
2000-09-06;303117.14
2000-09-08;25869.55
2000-09-11;-267354.06
2000-09-12;-322256.63
2000-09-13;-193269.91
2000-09-14;-6410.58
2000-09-15;210634.38
2000-09-18;-311953.03
2000-09-19;-274634.58
2000-09-20;91466.41
2000-09-21;-157006.97
2000-09-22;-787844.42
2000-09-25;-73171.5
2000-09-26;-248834.93
2000-09-27;65275.41
2000-09-28;95412.05
2000-09-29;239041.41
2000-10-02;55710.34
2000-10-03;-173619.23
2000-10-04;-104152.53
2000-10-05;289779.24
2000-10-06;230504.34
2000-10-09;-316817.77
2000-10-10;7429.44
2000-10-11;-139768.99
2000-10-13;-42728.63
2000-10-16;-222672.2
2000-10-17;-305782.88
2000-10-18;-155641.24
2000-10-19;-79889.02
2000-10-20;120187.23
2000-10-23;1417282.32
2000-10-24;-1801490.85
2000-10-25;26079.77
2000-10-26;-106090.5
2000-10-27;57595.02
2000-10-30;136124.14
2000-10-31;-26972.4
2000-11-01;79826.34
2000-11-03;26421.01
2000-11-06;-88523.68
2000-11-07;124355.3
2000-11-08;-156744.02
2000-11-09;-161974.41
2000-11-10;189149.09
2000-11-13;-184652.16
2000-11-14;-10034.5
2000-11-16;-142262.16
2000-11-17;-209171.13
2000-11-20;429554.95
2000-11-21;-595401.27
2000-11-22;-158146.4
2000-11-23;-14260.17
2000-11-24;7206006.33
2000-11-27;-7130823.71
2000-11-28;-146586.62
2000-11-29;279319.43
2000-11-30;707349.95
2000-12-01;228003.99
2000-12-04;187194.17
2000-12-05;-146448.25
2000-12-06;390151.32
2000-12-07;44190.86
2000-12-08;167466.15
2000-12-11;-76443.87
2000-12-12;-305158.88
2000-12-13;45426.02
2000-12-14;266270.93
2000-12-15;524862.58
2000-12-18;-67461.29
2000-12-19;192353.69
2000-12-20;1164277.54
2000-12-21;-458713.05
2000-12-22;48937.81
2000-12-26;149319.87
2000-12-27;-88232.27
2000-12-28;512310.01
2000-12-29;-487122.7
2001-01-02;349731.8
2001-01-03;13611.24
2001-01-04;3655.49
2001-01-05;644756.54
2001-01-08;-138570.94
2001-01-09;-334137.71
2001-01-10;140898.84
2001-01-11;-193131.91
2001-01-12;-40269.43
2001-01-15;32190.83
2001-01-16;-359588.1
2001-01-17;-176438.47
2001-01-18;-136352.71
2001-01-19;36411.04
2001-01-22;-171247.42
2001-01-23;-260968.59
2001-01-24;-19102.58
2001-01-25;-19398.77
2001-01-26;-2741.07
2001-01-29;-203456.41
2001-01-30;130341.38
2001-01-31;203844.56
2001-02-01;56734.32
2001-02-02;200250.98
2001-02-05;-11748.72
2001-02-06;35977.38
2001-02-07;5027.57
2001-02-08;-202879.81
2001-02-09;142798.53
2001-02-12;-242949.97
2001-02-13;-321212.79
2001-02-14;-83777.81
2001-02-15;127427.84
2001-02-16;-206340.06
2001-02-19;-160204.42
2001-02-20;-59732.01
2001-02-21;-202883.07
2001-02-22;171229.63
2001-02-23;811796.21
2001-02-28;-349692.52
2001-03-01;10683.43
2001-03-02;11790.12
2001-03-05;-26194.36
2001-03-06;66716.94
2001-03-07;-104728.64
2001-03-08;-160185.43
2001-03-09;148088.41
2001-03-12;-265767.35
2001-03-13;-298079.29
2001-03-14;-23919.2
