data;Saldo_Credito_PF
2011-03-01;192480
2011-04-01;181292
2011-05-01;202150
2011-06-01;200623
2011-07-01;193708
2011-08-01;216250
2011-09-01;202974
2011-10-01;195452
2011-11-01;209103
2011-12-01;229394
2012-01-01;192708
2012-02-01;182427
2012-03-01;215826
2012-04-01;207523
2012-05-01;226037
2012-06-01;214348
2012-07-01;210938
2012-08-01;215755
2012-09-01;199684
2012-10-01;231345
2012-11-01;219250
2012-12-01;233730
2013-01-01;210573
2013-02-01;196797
2013-03-01;217079
2013-04-01;229352
2013-05-01;240857
2013-06-01;224480
2013-07-01;228693
2013-08-01;227021
2013-09-01;227163
2013-10-01;239284
2013-11-01;230368
2013-12-01;262220
2014-01-01;220684
2014-02-01;221066
2014-03-01;229414
2014-04-01;233117
2014-05-01;239948
2014-06-01;237567
2014-07-01;232139
2014-08-01;225830
2014-09-01;246191
2014-10-01;247956
2014-11-01;233007
2014-12-01;278564
2015-01-01;225064
2015-02-01;203089
2015-03-01;253029
2015-04-01;233516
2015-05-01;234794
2015-06-01;246950
2015-07-01;234452
2015-08-01;224672
2015-09-01;235886
2015-10-01;226431
2015-11-01;233154
2015-12-01;265343
2016-01-01;200658
2016-02-01;205487
2016-03-01;231281
2016-04-01;211721
2016-05-01;227095
2016-06-01;229664
2016-07-01;205877
2016-08-01;221869
2016-09-01;219440
2016-10-01;216059
2016-11-01;227695
2016-12-01;249582
2017-01-01;212483
2017-02-01;187407
2017-03-01;249510
2017-04-01;202388
2017-05-01;233296
2017-06-01;244643
2017-07-01;215887
2017-08-01;236178
2017-09-01;225178
2017-10-01;236677
2017-11-01;245740
2017-12-01;273365
2018-01-01;236917
2018-02-01;227245
2018-03-01;257883
2018-04-01;255152
2018-05-01;255651
2018-06-01;261880
2018-07-01;253479
2018-08-01;274233
2018-09-01;249207
2018-10-01;274448
2018-11-01;279941
2018-12-01;303250
2019-01-01;265018
2019-02-01;262495
2019-03-01;275999
2019-04-01;281187
2019-05-01;302157
2019-06-01;287714
2019-07-01;301318
2019-08-01;299568
2019-09-01;308321
2019-10-01;317159
2019-11-01;315868
2019-12-01;372248
2020-01-01;300555
2020-02-01;287226
2020-03-01;368253
2020-04-01;265425
2020-05-01;250692
2020-06-01;282912
2020-07-01;284563
2020-08-01;280412
2020-09-01;302629
2020-10-01;305654
2020-11-01;328155
2020-12-01;350422
2021-01-01;270114
2021-02-01;284569
2021-03-01;364180
2021-04-01;339300
2021-05-01;357204
2021-06-01;378166
2021-07-01;355109
2021-08-01;379379
2021-09-01;392448
2021-10-01;385548
2021-11-01;419210
2021-12-01;456760
2022-01-01;378725
2022-02-01;368398
2022-03-01;472399
2022-04-01;424136
2022-05-01;457752
2022-06-01;448319
2022-07-01;426381
2022-08-01;461329
2022-09-01;461192
2022-10-01;444958
2022-11-01;457610
2022-12-01;498397
2023-01-01;432794
2023-02-01;391495
2023-03-01;480328
2023-04-01;403725
2023-05-01;463452
2023-06-01;473135
2023-07-01;433511
2023-08-01;464855
2023-09-01;474923
2023-10-01;472216
2023-11-01;494771
2023-12-01;537091
2024-01-01;488146
2024-02-01;459567
2024-03-01;509080
2024-04-01;510750
2024-05-01;514431
2024-06-01;531376
2024-07-01;552338
2024-08-01;537797
2024-09-01;557728
