data,Concessões de crédito PF
2011-03-01,81342
2011-04-01,76370
2011-05-01,86981
2011-06-01,85337
2011-07-01,84000
2011-08-01,91737
2011-09-01,88129
2011-10-01,86639
2011-11-01,90974
2011-12-01,96629
2012-01-01,87551
2012-02-01,82900
2012-03-01,90358
2012-04-01,89618
2012-05-01,96553
2012-06-01,88188
2012-07-01,90920
2012-08-01,91261
2012-09-01,84462
2012-10-01,101255
2012-11-01,95827
2012-12-01,101228
2013-01-01,99066
2013-02-01,90327
2013-03-01,95699
2013-04-01,104806
2013-05-01,104999
2013-06-01,97051
2013-07-01,107567
2013-08-01,105721
2013-09-01,102442
2013-10-01,109630
2013-11-01,105033
2013-12-01,118521
2014-01-01,108337
2014-02-01,106237
2014-03-01,105385
2014-04-01,108376
2014-05-01,111963
2014-06-01,108390
2014-07-01,114847
2014-08-01,109546
2014-09-01,116369
2014-10-01,124091
2014-11-01,112390
2014-12-01,130105
2015-01-01,113017
2015-02-01,101022
2015-03-01,119086
2015-04-01,111715
2015-05-01,113250
2015-06-01,114149
2015-07-01,114625
2015-08-01,111083
2015-09-01,110402
2015-10-01,109498
2015-11-01,114635
2015-12-01,121503
2016-01-01,103508
2016-02-01,106054
2016-03-01,112509
2016-04-01,106139
2016-05-01,114529
2016-06-01,113802
2016-07-01,110430
2016-08-01,119029
2016-09-01,108839
2016-10-01,114147
2016-11-01,120500
2016-12-01,123526
2017-01-01,116764
2017-02-01,101993
2017-03-01,129337
2017-04-01,109942
2017-05-01,127898
2017-06-01,123740
2017-07-01,122292
2017-08-01,126522
2017-09-01,118891
2017-10-01,129709
2017-11-01,133426
2017-12-01,133564
2018-01-01,133384
2018-02-01,119267
2018-03-01,131686
2018-04-01,132227
2018-05-01,135822
2018-06-01,131153
2018-07-01,135459
2018-08-01,145241
2018-09-01,127550
2018-10-01,145814
2018-11-01,155258
2018-12-01,151927
2019-01-01,148422
2019-02-01,141180
2019-03-01,141285
2019-04-01,151983
2019-05-01,158451
2019-06-01,146165
2019-07-01,165869
2019-08-01,159893
2019-09-01,158811
2019-10-01,170128
2019-11-01,167346
2019-12-01,184965
2020-01-01,169238
2020-02-01,153292
2020-03-01,153698
2020-04-01,121500
2020-05-01,124156
2020-06-01,141406
2020-07-01,150112
2020-08-01,153465
2020-09-01,160581
2020-10-01,168718
2020-11-01,179529
2020-12-01,181966
2021-01-01,153596
2021-02-01,153793
2021-03-01,172379
2021-04-01,172562
2021-05-01,187839
2021-06-01,189609
2021-07-01,193690
2021-08-01,205784
2021-09-01,202391
2021-10-01,202380
2021-11-01,223990
2021-12-01,224634
2022-01-01,200482
2022-02-01,187146
2022-03-01,230064
2022-04-01,223322
2022-05-01,239059
2022-06-01,227180
2022-07-01,227425
2022-08-01,243934
2022-09-01,236630
2022-10-01,244752
2022-11-01,251249
2022-12-01,251291
2023-01-01,242828
2023-02-01,218186
2023-03-01,252192
2023-04-01,227114
2023-05-01,256199
2023-06-01,246634
2023-07-01,248075
2023-08-01,262382
2023-09-01,249716
2023-10-01,266872
2023-11-01,277270
2023-12-01,271993
2024-01-01,282282
2024-02-01,257761
2024-03-01,266646
2024-04-01,280878
2024-05-01,288135
2024-06-01,274356
2024-07-01,303048
2024-08-01,286507
2024-09-01,289565
