data,Saldo diário de depósitos de poupança - SBPE e rural
2000-01-03,111677117.85
2000-01-04,111757298.92
2000-01-05,112033712.69
2000-01-06,112263750.96
2000-01-07,112620363.56
2000-01-10,112595006.8
2000-01-11,112356179.24
2000-01-12,112348329.25
2000-01-13,112296394.0
2000-01-14,112393342.37
2000-01-17,112445144.09
2000-01-18,112083165.01
2000-01-19,111921537.68
2000-01-20,112037213.07
2000-01-21,112003564.06
2000-01-24,111933035.9
2000-01-25,111800043.76
2000-01-26,111649461.94
2000-01-27,111705634.13
2000-01-28,111903656.73
2000-01-31,112026631.93
2000-02-01,112142892.79
2000-02-02,112149776.0
2000-02-03,112149213.46
2000-02-04,112453195.75
2000-02-07,112424978.59
2000-02-08,112096439.53
2000-02-09,111951535.28
2000-02-10,111970347.57
2000-02-11,111833142.43
2000-02-14,111724984.65
2000-02-15,111752075.07
2000-02-16,111497697.61
2000-02-17,111555913.06
2000-02-18,111513950.4
2000-02-21,111404566.75
2000-02-22,111108370.22
2000-02-23,110885566.31
2000-02-24,110828502.88
2000-02-25,111315239.82
2000-02-28,111202254.02
2000-02-29,111291170.56
2000-03-01,111446265.92
2000-03-02,111565591.67
2000-03-03,111800131.13
2000-03-08,111603434.79
2000-03-09,111403400.11
2000-03-10,111336570.38
2000-03-13,111199253.65
2000-03-14,111050515.64
2000-03-15,111130406.97
2000-03-16,111001054.67
2000-03-17,111102591.41
2000-03-20,111064251.73
2000-03-21,110771783.19
2000-03-22,110724691.3
2000-03-23,110542443.58
2000-03-24,110600996.28
2000-03-27,110533289.78
2000-03-28,110207444.76
2000-03-29,110177750.76
2000-03-30,110432599.81
2000-03-31,110679160.81
2000-04-03,110713963.78
2000-04-04,110591086.05
2000-04-05,110704701.68
2000-04-06,110975045.76
2000-04-07,110946325.64
2000-04-10,110962005.43
2000-04-11,110607420.69
2000-04-12,110477212.09
2000-04-13,110434023.45
2000-04-14,110613381.38
2000-04-17,110480328.99
2000-04-18,110166456.76
2000-04-19,110095902.29
2000-04-20,110208562.27
2000-04-24,110118089.68
2000-04-25,109931348.59
2000-04-26,109903226.82
2000-04-27,110072379.56
2000-04-28,110375732.81
2000-05-02,110438487.06
2000-05-03,110235413.92
2000-05-04,110193587.17
2000-05-05,110707018.41
2000-05-08,110566241.49
2000-05-09,110276060.84
2000-05-10,110436602.5
2000-05-11,110257384.81
2000-05-12,110247807.35
2000-05-15,110382356.47
2000-05-16,110092345.84
2000-05-17,109953937.79
2000-05-18,109818404.61
2000-05-19,109912429.93
2000-05-22,109987038.54
2000-05-23,109604001.44
2000-05-24,109532308.92
2000-05-25,109621195.88
2000-05-26,109603742.31
2000-05-29,109498506.04
2000-05-30,109665949.53
2000-05-31,109815716.48
2000-06-01,109955679.93
2000-06-02,110062130.55
2000-06-05,110236718.16
2000-06-06,110368113.56
2000-06-07,110286147.35
2000-06-08,110191598.69
2000-06-09,110389421.83
2000-06-12,110301339.67
2000-06-13,110012630.05
2000-06-14,110036768.25
2000-06-15,110254665.39
2000-06-16,110124595.38
2000-06-19,109999493.15
2000-06-20,110134228.99
2000-06-21,109906556.46
2000-06-23,109877652.57
2000-06-26,109726456.08
2000-06-27,109679592.11
2000-06-28,109679325.19
2000-06-29,109942151.8
2000-06-30,110467964.91
2000-07-03,110744761.34
2000-07-04,110498349.71
2000-07-05,110729166.63
2000-07-06,110972819.41
2000-07-07,110916123.4
2000-07-10,111034862.59
2000-07-11,110660576.32
2000-07-12,110552127.94
2000-07-13,110506312.89
2000-07-14,110805639.22
2000-07-17,110734384.76
2000-07-18,110428921.21
2000-07-19,110312734.38
2000-07-20,110448881.34
2000-07-21,110336235.05
2000-07-24,110277046.04
2000-07-25,110214007.66
2000-07-26,110042206.05
2000-07-27,110144653.17
2000-07-28,110332543.61
2000-07-31,110418743.52
2000-08-01,110529969.19
2000-08-02,110488784.81
2000-08-03,110506176.04
2000-08-04,110967593.75
2000-08-07,110987673.18
2000-08-08,110576896.99
2000-08-09,110437428.59
2000-08-10,110607432.3
2000-08-11,110471705.44
2000-08-14,110540279.1
2000-08-15,110820630.43
2000-08-16,110402401.36
2000-08-17,110970420.83
2000-08-18,110332944.99
2000-08-21,110313882.05
2000-08-22,110057031.22
2000-08-23,109869764.72
2000-08-24,109818318.83
2000-08-25,109984427.22
2000-08-28,109764557.52
2000-08-29,109643392.02
2000-08-30,109904109.46
2000-08-31,110151524.68
2000-09-01,110324818.1
2000-09-04,110314523.59
2000-09-05,110327912.16
2000-09-06,110647680.62
2000-09-08,110710020.18
2000-09-11,110487501.91
2000-09-12,110188852.82
2000-09-13,110008578.95
2000-09-14,109998871.29
2000-09-15,110230051.22
2000-09-18,109959612.53
2000-09-19,109696912.78
2000-09-20,109806766.25
2000-09-21,109664783.69
2000-09-22,108880053.82
2000-09-25,108823104.12
2000-09-26,108584647.24
2000-09-27,108653907.97
2000-09-28,108749405.77
2000-09-29,108972153.46
2000-10-02,109100705.74
2000-10-03,108949466.07
2000-10-04,108854285.6
2000-10-05,109166748.1
2000-10-06,109413215.1
2000-10-09,109135052.75
2000-10-10,109166217.47
2000-10-11,109048912.44
2000-10-13,109028786.86
2000-10-16,108833153.66
2000-10-17,108541003.35
2000-10-18,108393241.87
2000-10-19,108323980.32
2000-10-20,108459177.39
2000-10-23,109913015.9
2000-10-24,108107955.85
2000-10-25,108156677.6
2000-10-26,108051961.42
2000-10-27,108108952.52
2000-10-30,108234369.27
2000-10-31,108200218.64
2000-11-01,108384067.64
2000-11-03,108453400.55
2000-11-06,108413681.58
2000-11-07,108556741.22
2000-11-08,108414722.26
2000-11-09,108269999.92
2000-11-10,108486197.83
2000-11-13,108368933.77
2000-11-14,108361541.87
2000-11-16,108246420.9
2000-11-17,108064542.92
2000-11-20,108541809.64
2000-11-21,107960369.94
2000-11-22,107809040.59
2000-11-23,107801132.08
2000-11-24,115022481.3
2000-11-27,107919522.07
2000-11-28,107780392.61
2000-11-29,108046449.06
2000-11-30,108752809.16
2000-12-01,109078097.28
2000-12-04,109345349.25
2000-12-05,109235515.4
2000-12-06,109654923.08
2000-12-07,109735507.99
