pib;data
175431.84;1996-01-01
177668.35;1996-04-01
183822.93;1996-07-01
182461.41;1996-10-01
184304.27;1997-01-01
185322.64;1997-04-01
187321.82;1997-07-01
189243.48;1997-10-01
185499.84;1998-01-01
188524.57;1998-04-01
188358.76;1998-07-01
186467.52;1998-10-01
186769.23;1999-01-01
187540.12;1999-04-01
187734.33;1999-07-01
190312.01;1999-10-01
192381.97;2000-01-01
194950.51;2000-04-01
197623.76;2000-07-01
199867.75;2000-10-01
200325.62;2001-01-01
199598.48;2001-04-01
198730.43;2001-07-01
197774.94;2001-10-01
202820.11;2002-01-01
203520.34;2002-04-01
206076.35;2002-07-01
208097.19;2002-10-01
207423.38;2003-01-01
205691.63;2003-04-01
207422.8;2003-07-01
209568.68;2003-10-01
212685.41;2004-01-01
218408.51;2004-04-01
221131.85;2004-07-01
222930.69;2004-10-01
224821.68;2005-01-01
227261.99;2005-04-01
225923.61;2005-07-01
229050.28;2005-10-01
232273.84;2006-01-01
233278.52;2006-04-01
237179.12;2006-07-01
240122.09;2006-10-01
244261.63;2007-01-01
248569.64;2007-04-01
251133.15;2007-07-01
254786.73;2007-10-01
258192.5;2008-01-01
263460.75;2008-04-01
267426.41;2008-07-01
257447.79;2008-10-01
254014.03;2009-01-01
258497.24;2009-04-01
264586.04;2009-07-01
271220.41;2009-10-01
277052.81;2010-01-01
280527.85;2010-04-01
283007.24;2010-07-01
286890.54;2010-10-01
291071.72;2011-01-01
293670.63;2011-04-01
293180.81;2011-07-01
295944.49;2011-10-01
291804.21;2012-01-01
296816.68;2012-04-01
301984.84;2012-07-01
302190.26;2012-10-01
303654.95;2013-01-01
308014.8;2013-04-01
309303.94;2013-07-01
309886.64;2013-10-01
312177.01;2014-01-01
308099.94;2014-04-01
307791.67;2014-07-01
309136.27;2014-10-01
306617.47;2015-01-01
299669.19;2015-04-01
294976.95;2015-07-01
292118.63;2015-10-01
288141.09;2016-01-01
288989.34;2016-04-01
287536.17;2016-07-01
287268.23;2016-10-01
290031.86;2017-01-01
292341.89;2017-04-01
293293.59;2017-07-01
295021.95;2017-10-01
296400.59;2018-01-01
296323.02;2018-04-01
299001.26;2018-07-01
298385.81;2018-10-01
299238.37;2019-01-01
301034.28;2019-04-01
300920.44;2019-07-01
303372.69;2019-10-01
296689.73;2020-01-01
270515.76;2020-04-01
291818.28;2020-07-01
302567.11;2020-10-01
305578.54;2021-01-01
303730.05;2021-04-01
304064.86;2021-07-01
307504.71;2021-10-01
310164.64;2022-01-01
313920.4;2022-04-01
316943.33;2022-07-01
318087.73;2022-10-01
321846.86;2023-01-01
324137.01;2023-04-01
324557.35;2023-07-01
325160.24;2023-10-01
328547.35;2024-01-01
333303.03;2024-04-01
